"index","MID","PID","ID"
"695","tt0378072","nm0463316","695"
"696","tt0178186","nm0347899","696"
"697","tt0415768","nm1025280","697"
"698","tt1890363","nm1892252","698"
"699","tt1060249","nm0968648","699"
"700","tt0495032","nm1397301","700"
"701","tt0118751","nm0244892","701"
"702","tt0107060","nm0080315","702"
"703","tt0490170","nm0062614","703"
"704","tt4177040","nm3672165","704"
"705","tt0382385","nm1460159","705"
"706","tt0156985","nm0080315","706"
"707","tt0110438","nm0539781","707"
"708","tt1391544","nm1084488","708"
"709","tt0109710","nm0223522","709"
"710","tt0234141","nm0006348","710"
"711","tt0147811","nm0755997","711"
"712","tt0214841","nm0007131","712"
"713","tt6080914","nm8454794","713"
"714","tt0216817","nm0054744","714"
"715","tt0214665","nm0324389","715"
"716","tt1754137","nm1472183","716"
"717","tt0337652","nm0417562","717"
"718","tt7274806","nm9180204","718"
"719","tt0050870","nm0244870","719"
"720","tt2369154","nm0222150","720"
"721","tt0156043","nm0066066","721"
"722","tt0172617","nm1203774","722"
"723","tt2939912","nm1856787","723"
"724","tt0187279","nm0660967","724"
"725","tt0886539","nm0015295","725"
"726","tt4818930","nm7278299","726"
"727","tt0078241","nm0787452","727"
"728","tt0305689","nm0695175","728"
"729","tt1241195","nm2955107","729"
"730","tt0072860","nm0007181","730"
"731","tt0374271","nm0442479","731"
"732","tt0070253","nm0149850","732"
"733","tt0379375","nm1162002","733"
"734","tt0095440","nm0851253","734"
"735","tt1522329","nm2260731","735"
"736","tt0173102","nm0592583","736"
"737","tt3817652","nm5907071","737"
"738","tt1146325","nm0063357","738"
"739","tt5056470","nm1805194","739"
"740","tt0255212","nm0442479","740"
"741","tt0121395","nm0062614","741"
"742","tt7742704","nm3492890","742"
"743","tt1830786","nm0223522","743"
"744","tt0177473","nm0220828","744"
"745","tt0294264","nm0471452","745"
"746","tt4302956","nm0122216","746"
"747","tt2343621","nm0595936","747"
"748","tt2622130","nm1739402","748"
"749","tt3671294","nm0467680","749"
"750","tt0151206","nm0004363","750"
"751","tt2308773","nm1964923","751"
"752","tt0248135","nm0004363","752"
"753","tt0247394","nm0623178","753"
"754","tt1578261","nm1538135","754"
"755","tt0246456","nm0765166","755"
"756","tt2806788","nm1805326","756"
"757","tt0284456","nm0576488","757"
"758","tt0102746","nm0046985","758"
"759","tt0164550","nm0080315","759"
"760","tt7190460","nm4199426","760"
"761","tt1227762","nm1223910","761"
"762","tt0473310","nm0890060","762"
"763","tt0049041","nm0451846","763"
"764","tt0485522","nm0244892","764"
"765","tt4811706","nm1302401","765"
"766","tt2106537","nm0080235","766"
"767","tt3590416","nm2124532","767"
"768","tt0116153","nm0576454","768"
"769","tt0255309","nm0542498","769"
"770","tt2675978","nm1322477","770"
"771","tt0493417","nm0451155","771"
"772","tt0305714","nm0997190","772"
