"index","MID","LID","ID"
"782","tt0072100","219.0","782"
"783","tt0105394","","783"
"784","tt7341406","","784"
"785","tt3681414","","785"
"786","tt0121989","180.0","786"
"787","tt0986213","34.0","787"
"788","tt0053706","61.0","788"
"789","tt0383975","44.0","789"
"790","tt1671446","65.0","790"
"791","tt0268141","","791"
"792","tt0839742","271.0","792"
"793","tt0317312","","793"
"794","tt6058394","","794"
"795","tt0116763","124.0","795"
"796","tt1891757","272.0","796"
"797","tt0059246","77.0","797"
"798","tt4500734","","798"
"799","tt3369670","","799"
"800","tt1156148","194.0","800"
"801","tt0077451","219.0","801"
"802","tt2302416","273.0","802"
"803","tt1334470","","803"
"804","tt0067183","71.0","804"
"805","tt0414714","128.0","805"
"806","tt0210609","274.0","806"
"807","tt0454431","7.0","807"
"808","tt5615116","","808"
"809","tt1288638","65.0","809"
"810","tt0111068","74.0","810"
"811","tt0154998","","811"
"812","tt0073191","","812"
"813","tt0263491","180.0","813"
"814","tt0083578","","814"
"815","tt1848771","275.0","815"
"816","tt0220757","","816"
"817","tt5637188","","817"
"818","tt0433425","7.0","818"
"819","tt0348656","276.0","819"
"820","tt0082797","7.0","820"
"821","tt1667823","44.0","821"
"822","tt0230055","","822"
"823","tt3302962","","823"
"824","tt0175530","219.0","824"
"825","tt5120640","107.0","825"
"826","tt0117437","277.0","826"
"827","tt0083081","278.0","827"
"828","tt0409527","124.0","828"
"829","tt0267130","","829"
"830","tt0456481","34.0","830"
"831","tt0156891","7.0","831"
"832","tt2246595","218.0","832"
"833","tt1191130","","833"
"834","tt0290331","","834"
"835","tt0078222","252.0","835"
"836","tt0396563","","836"
"837","tt0253194","239.0","837"
"838","tt4603640","","838"
"839","tt0090812","219.0","839"
"840","tt0453671","212.0","840"
"841","tt0215517","","841"
"842","tt0041619","","842"
"843","tt0154685","279.0","843"
"844","tt0443708","44.0","844"
"845","tt0290326","22.0","845"
"846","tt0222270","","846"
"847","tt1082075","280.0","847"
"848","tt2404519","216.0","848"
"849","tt0286421","7.0","849"
"850","tt0107986","7.0","850"
"851","tt0307873","","851"
"852","tt0330843","281.0","852"
"853","tt0172175","","853"
"854","tt0276309","282.0","854"
"855","tt0105166","","855"
"856","tt2073070","283.0","856"
"857","tt0499041","65.0","857"
"858","tt0319020","34.0","858"
"859","tt6620324","","859"
"860","tt0089194","44.0","860"
"861","tt2417560","","861"
"862","tt0392360","","862"
"863","tt0172170","145.0","863"
"864","tt0106653","219.0","864"
"865","tt4683366","44.0","865"
"866","tt2188805","","866"
"867","tt0489486","7.0","867"
"868","tt0110546","","868"
"869","tt5785200","","869"
"870","tt2633598","284.0","870"
"871","tt0246914","219.0","871"
"872","tt0154565","285.0","872"
"873","tt0116391","","873"
"874","tt1099196","115.0","874"
"875","tt0104404","286.0","875"
"876","tt0882967","","876"
"877","tt0375791","34.0","877"
"878","tt0178184","252.0","878"
"879","tt0346507","218.0","879"
"880","tt0348187","","880"
"881","tt1907761","","881"
"882","tt0111780","","882"
"883","tt0306855","","883"
"884","tt6046994","","884"
"885","tt2905768","285.0","885"
"886","tt1174041","127.0","886"
"887","tt0347416","287.0","887"
"888","tt4262516","288.0","888"
"889","tt3615160","","889"
"890","tt0071800","","890"
"891","tt0172761","109.0","891"
"892","tt0084630","","892"
"893","tt1455811","7.0","893"
"894","tt2406676","","894"
"895","tt1754920","115.0","895"
"896","tt3716142","","896"
"897","tt1170404","34.0","897"
"898","tt0281102","155.0","898"
"899","tt0229193","7.0","899"
"900","tt2215163","289.0","900"
"901","tt0444820","","901"
"902","tt0995718","","902"
"903","tt2077833","290.0","903"
"904","tt0453729","180.0","904"
"905","tt1773015","","905"
"906","tt0265690","","906"
"907","tt0115042","291.0","907"
"908","tt0097563","","908"
"909","tt0823451","","909"
"910","tt1582466","","910"
"911","tt1980986","292.0","911"
"912","tt0150433","115.0","912"
"913","tt2178508","44.0","913"
"914","tt0075669","293.0","914"
"915","tt0341562","","915"
"916","tt0303661","294.0","916"
"917","tt1451797","","917"
"918","tt0385351","","918"
"919","tt0456500","","919"
"920","tt0107321","124.0","920"
"921","tt0349620","295.0","921"
"922","tt1188982","7.0","922"
"923","tt5785116","","923"
"924","tt0300475","","924"
"925","tt0196635","34.0","925"
"926","tt0085886","279.0","926"
"927","tt0833553","296.0","927"
"928","tt0121352","297.0","928"
