"index","MID","title","year","rating","num_votes"
"203","tt3322420","Queen","2013","8.3","53328"
"204","tt2112124","Chennai Express","2013","6.0","43370"
"205","tt0400234","Black Friday","2004","8.6","15500"
"206","tt1275863","Love Aaj Kal","2009","6.8","13113"
"207","tt3447364","Detective Byomkesh Bakshy!","2015","7.6","13768"
"208","tt0441048","Dhoom:2","2006","6.5","20855"
"209","tt0433416","The Namesake","2006","7.5","17893"
"210","tt5050788","Loev","2015","5.9","1486"
"211","tt4399594","Fitoor","2016","5.4","3719"
"212","tt5474042","Half Girlfriend","2017","4.3","5106"
"213","tt8458202","Pihu","2018","6.6","168"
"214","tt2361746","Haraamkhor","2015","6.4","2737"
"215","tt6971752","Shubh Mangal Saavdhan","2017","6.9","5404"
"216","tt0280720","The Guru","2002","5.4","14292"
"217","tt5197544","Baar Baar Dekho","2016","5.3","5188"
"218","tt5325684","Hate Story IV","2018","3.4","1052"
"219","tt0374887","Munna Bhai M.B.B.S.","2003","8.2","62149"
"220","tt3848892","Baby","2015","8.1","46737"
"221","tt2557256","Bing feng: Chong sheng zhi men","2014","4.8","2890"
"222","tt7471004","The House Next Door","2017","6.8","1472"
"223","tt0213890","Mohabbatein","2000","7.1","24031"
"224","tt3469244","Phantom","2015","5.8","7505"
"225","tt5745450","Chef","2017","5.6","1549"
"226","tt5518128","Love Games","2016","4.4","668"
"227","tt6514010","Brij Mohan Amar Rahe","2017","7.1","2328"
"228","tt3614516","Ankhon Dekhi","2013","8.0","7924"
"229","tt2150177","Bhaiaji Superhit","2018","5.7","202"
"230","tt3542028","Chal Bhaag","2014","4.3","73"
"231","tt0096028","Salaam Bombay!","1988","8.0","7599"
"232","tt5071886","Kabali","2016","6.4","10035"
"233","tt5764096","Hindi Medium","2017","7.8","15535"
"234","tt0479751","Sivaji","2007","7.5","14881"
"235","tt0466460","Khosla Ka Ghosla!","2006","8.3","19118"
"236","tt0379370","Maqbool","2003","8.2","7352"
"237","tt2377938","Special Chabbis","2013","8.0","43542"
"238","tt0964516","Fashion","2008","7.0","10704"
"239","tt1029231","Krrish 3","2013","5.3","18433"
"240","tt7162758","Paltan","2018","5.5","515"
"241","tt1292703","Oye Lucky! Lucky Oye!","2008","7.8","14094"
"242","tt3495026","Fan","2016","7.2","37639"
"243","tt5358948","One Night Stand","2016","3.2","847"
"244","tt7609114","Yamla Pagla Deewana Phir Se...","2018","5.3","684"
"245","tt1926313","Pyaar Ka Punchnama","2011","7.7","17080"
"246","tt5713232","Madaari","2016","7.6","10537"
"247","tt2283748","OMG: Oh My God!","2012","8.2","41975"
"248","tt8338746","Phamous","2018","4.5","99"
"249","tt5108476","Befikre","2016","3.9","6134"
"250","tt1836987","Trishna","2011","6.0","2781"
"251","tt1324059","Wake Up Sid","2009","7.6","23993"
"252","tt1948150","Singham","2011","6.8","12356"
"253","tt0461936","Don","2006","7.2","30993"
"254","tt2929690","Margarita with a Straw","2014","7.3","2793"
"255","tt1198101","Kites","2010","6.1","11149"
"256","tt3495030","Dum Laga Ke Haisha","2015","7.5","13979"
"257","tt3554418","Khoobsurat","2014","6.4","6586"
"258","tt3177332","Horror Story","2013","4.4","1232"
"259","tt2203308","Aashiqui 2","2013","7.0","23969"
"260","tt1438298","Guzaarish","2010","7.5","14871"
"261","tt0234000","Kaho Naa... Pyaar Hai","2000","6.9","11855"
"262","tt2461132","Happy New Year","2014","5.2","30754"
"263","tt0425326","Outsourced","2006","7.0","10670"
"264","tt3337550","Rahasya","2015","7.6","3596"
"265","tt1629376","7 Khoon Maaf","2011","6.1","4815"
"266","tt1261047","Gulaal","2009","8.1","12019"
"267","tt7384848","Missing","2018","5.8","1294"
"268","tt5918074","A Death in the Gunj","2016","7.5","2688"
"269","tt2309987","Hate Story","2012","5.3","3086"
"270","tt7722258","Genius","2018","4.9","615"
"271","tt2797242","Bombay Talkies","2013","6.7","4380"
"272","tt2172071","Student of the Year","2012","5.5","12040"
"273","tt1806913","Golmaal Again","2017","5.0","6715"
"274","tt0292490","Dil Chahta Hai","2001","8.2","59380"
"275","tt1773764","Ship of Theseus","2012","8.1","5409"
"276","tt1734110","No One Killed Jessica","2011","7.2","9661"
"277","tt4430136","Pyaar Ka Punchnama 2","2015","7.3","12356"
"278","tt6277440","Badrinath Ki Dulhania","2017","6.2","8131"
"279","tt4909752","Rangoon","2017","5.8","3143"
"280","tt2226666","Jism 2","2012","3.0","3018"
"281","tt3859980","Mohenjo Daro","2016","5.8","9236"
"282","tt8060624","Nawabzaade","2018","5.0","661"
"283","tt0422091","Dhoom","2004","6.7","15972"
"284","tt2016894","Ek Tha Tiger","2012","5.5","25626"
"285","tt2979920","Bombay Velvet","2015","5.7","4917"
"286","tt0347473","Main Hoon Na","2004","7.0","28435"
"287","tt5121000","Aligarh","2015","7.8","4462"
"288","tt2317337","Vicky Donor","2012","7.8","33976"
"289","tt5165344","Rustom","2016","7.1","18773"
"290","tt2905838","Bang Bang","2014","5.5","19424"
"291","tt0296574","Company","2002","8.0","12722"
"292","tt5465370","Akira","2016","5.9","3344"
"293","tt0473367","Jaane Tu... Ya Jaane Na","2008","7.5","22562"
"294","tt6405126","Simran","2017","5.4","2428"
"295","tt4467262","Katti Batti","2015","4.9","2418"
"296","tt2976182","Roy","2015","3.3","6568"
"297","tt0488414","Omkara","2006","8.1","16627"
"298","tt3709344","City Lights","2014","7.3","3794"
"299","tt2126282","Ekk Deewana Tha","2012","5.9","2635"
"300","tt2356180","Bhaag Milkha Bhaag","2013","8.2","52802"
"301","tt0352314","Ek Hasina Thi","2004","7.6","5276"
"302","tt0499375","Guru","2007","7.8","19300"
"303","tt6272828","Mubarakan","2017","5.6","2830"
"304","tt1185442","Kurbaan","2009","5.7","4150"
"305","tt4232066","Once Again","2018","7.3","347"
"306","tt5456546","Judwaa 2","2017","3.9","6783"
"307","tt7617988","Kuchh Bheege Alfaaz","2018","7.7","365"
"308","tt0254481","Koi... Mil Gaya","2003","7.1","18342"
"309","tt4864932","Baaghi","2016","5.2","5486"
"310","tt0242519","Hera Pheri","2000","8.2","46252"
"311","tt2635622","The Attacks of 26/11","2013","6.8","4125"
"312","tt0116630","Indian","1996","8.1","8419"
"313","tt1077248","Johnny Gaddaar","2007","7.9","9847"
"314","tt5997928","Hotel Salvation","2016","7.2","1243"
"315","tt1274295","Kaminey","2009","7.4","14922"
"316","tt6471054","Ajji","2017","7.1","469"
"317","tt0164538","Dil Se..","1998","7.7","23879"
"318","tt2372678","2 States","2014","6.9","21230"
