"index","MID","LAID","ID"
"660","tt0061974","2","660"
"661","tt0069671","2","661"
"662","tt0065764","2","662"
"663","tt2357489","2","663"
"664","tt0118654","2","664"
"665","tt0109922","2","665"
"666","tt0391165","2","666"
"667","tt0189592","2","667"
"668","tt0339936","2","668"
"669","tt0266875","2","669"
"670","tt0363666","2","670"
"671","tt0267905","2","671"
"672","tt0317811","2","672"
"673","tt2354407","2","673"
"674","tt0112553","6","674"
"675","tt0845448","2","675"
"676","tt3539966","2","676"
"677","tt0860454","2","677"
"678","tt1708532","2","678"
"679","tt0172574","2","679"
"680","tt0187004","2","680"
"681","tt0065936","2","681"
"682","tt0173369","2","682"
"683","tt1805263","2","683"
"684","tt0419468","2","684"
"685","tt1034449","2","685"
"686","tt3840534","2","686"
"687","tt0210659","2","687"
"688","tt0109091","2","688"
"689","tt0326600","2","689"
"690","tt1509732","2","690"
"691","tt0385782","2","691"
"692","tt1263679","2","692"
"693","tt0115568","2","693"
"694","tt3036740","2","694"
"695","tt0378072","2","695"
"696","tt0178186","2","696"
"697","tt0415768","2","697"
"698","tt1890363","2","698"
"699","tt1060249","2","699"
"700","tt0495032","2","700"
"701","tt0118751","2","701"
"702","tt0107060","2","702"
"703","tt0490170","2","703"
"704","tt4177040","2","704"
"705","tt0382385","2","705"
"706","tt0156985","2","706"
"707","tt0110438","2","707"
"708","tt1391544","2","708"
"709","tt0109710","2","709"
"710","tt0234141","2","710"
"711","tt0147811","2","711"
"712","tt0214841","2","712"
"713","tt6080914","6","713"
"714","tt0216817","2","714"
"715","tt0214665","2","715"
"716","tt1754137","2","716"
"717","tt0337652","2","717"
"718","tt7274806","2","718"
"719","tt0050870","2","719"
"720","tt2369154","2","720"
"721","tt0156043","2","721"
"722","tt0172617","2","722"
"723","tt2939912","2","723"
"724","tt0187279","2","724"
"725","tt0886539","2","725"
"726","tt4818930","2","726"
"727","tt0078241","2","727"
"728","tt0305689","2","728"
"729","tt1241195","2","729"
"730","tt0072860","2","730"
"731","tt0374271","2","731"
"732","tt0070253","2","732"
"733","tt0379375","2","733"
"734","tt0095440","2","734"
"735","tt1522329","2","735"
"736","tt0173102","2","736"
"737","tt3817652","15","737"
"738","tt1146325","2","738"
"739","tt5056470","0","739"
"740","tt0255212","2","740"
"741","tt0121395","2","741"
"742","tt7742704","2","742"
"743","tt1830786","2","743"
"744","tt0177473","2","744"
"745","tt0294264","6","745"
"746","tt4302956","2","746"
"747","tt2343621","2","747"
"748","tt2622130","2","748"
"749","tt3671294","2","749"
"750","tt0151206","2","750"
"751","tt2308773","2","751"
"752","tt0248135","2","752"
"753","tt0247394","2","753"
"754","tt1578261","2","754"
"755","tt0246456","2","755"
"756","tt2806788","2","756"
"757","tt0284456","2","757"
"758","tt0102746","2","758"
"759","tt0164550","2","759"
"760","tt7190460","6","760"
"761","tt1227762","2","761"
"762","tt0473310","2","762"
"763","tt0049041","2","763"
"764","tt0485522","12","764"
"765","tt4811706","2","765"
"766","tt2106537","2","766"
"767","tt3590416","2","767"
"768","tt0116153","2","768"
"769","tt0255309","2","769"
"770","tt2675978","2","770"
"771","tt0493417","2","771"
"772","tt0305714","6","772"
"773","tt0084667","2","773"
"774","tt1042499","0","774"
"775","tt0326576","2","775"
"776","tt3611266","2","776"
"777","tt0138411","2","777"
"778","tt1855268","2","778"
"779","tt1039995","2","779"
"780","tt1727496","2","780"
"781","tt0084866","2","781"
"782","tt0072100","2","782"
"783","tt0105394","2","783"
"784","tt7341406","2","784"
"785","tt3681414","2","785"
"786","tt0121989","2","786"
"787","tt0986213","2","787"
"788","tt0053706","12","788"
"789","tt0383975","2","789"
"790","tt1671446","6","790"
"791","tt0268141","2","791"
"792","tt0839742","0","792"
"793","tt0317312","2","793"
"794","tt6058394","2","794"
"795","tt0116763","2","795"
"796","tt1891757","12","796"
"797","tt0059246","2","797"
"798","tt4500734","2","798"
"799","tt3369670","2","799"
"800","tt1156148","2","800"
"801","tt0077451","2","801"
"802","tt2302416","2","802"
"803","tt1334470","2","803"
"804","tt0067183","2","804"
"805","tt0414714","2","805"
"806","tt0210609","2","806"
"807","tt0454431","2","807"
"808","tt5615116","2","808"
"809","tt1288638","2","809"
"810","tt0111068","2","810"
"811","tt0154998","2","811"
"812","tt0073191","2","812"
"813","tt0263491","2","813"
"814","tt0083578","2","814"
"815","tt1848771","2","815"
"816","tt0220757","2","816"
"817","tt5637188","2","817"
"818","tt0433425","0","818"
"819","tt0348656","2","819"
"820","tt0082797","2","820"
"821","tt1667823","2","821"
"822","tt0230055","2","822"
"823","tt3302962","2","823"
"824","tt0175530","2","824"
"825","tt5120640","2","825"
"826","tt0117437","2","826"
"827","tt0083081","2","827"
"828","tt0409527","2","828"
"829","tt0267130","2","829"
"830","tt0456481","0","830"
"831","tt0156891","2","831"
"832","tt2246595","2","832"
"833","tt1191130","2","833"
"834","tt0290331","2","834"
"835","tt0078222","2","835"
"836","tt0396563","2","836"
"837","tt0253194","2","837"
"838","tt4603640","2","838"
"839","tt0090812","2","839"
"840","tt0453671","2","840"
"841","tt0215517","2","841"
"842","tt0041619","2","842"
"843","tt0154685","2","843"
"844","tt0443708","2","844"
"845","tt0290326","2","845"
"846","tt0222270","2","846"
"847","tt1082075","2","847"
"848","tt2404519","0","848"
"849","tt0286421","2","849"
"850","tt0107986","2","850"
"851","tt0307873","2","851"
"852","tt0330843","2","852"
"853","tt0172175","2","853"
"854","tt0276309","2","854"
"855","tt0105166","2","855"
"856","tt2073070","2","856"
"857","tt0499041","2","857"
"858","tt0319020","2","858"
"859","tt6620324","2","859"
"860","tt0089194","2","860"
"861","tt2417560","2","861"
"862","tt0392360","2","862"
"863","tt0172170","2","863"
"864","tt0106653","2","864"
"865","tt4683366","2","865"
"866","tt2188805","2","866"
"867","tt0489486","2","867"
"868","tt0110546","2","868"
"869","tt5785200","2","869"
"870","tt2633598","2","870"
"871","tt0246914","2","871"
"872","tt0154565","2","872"
"873","tt0116391","2","873"
"874","tt1099196","2","874"
"875","tt0104404","2","875"
"876","tt0882967","2","876"
"877","tt0375791","2","877"
"878","tt0178184","2","878"
"879","tt0346507","2","879"
"880","tt0348187","2","880"
"881","tt1907761","2","881"
"882","tt0111780","2","882"
